StationAdd,StationA_1,BikesCapac,HubName,HubDist,StationUID,StationID,AuthorityI,StationNam,StationN_1,originlat,originlon,Tlat,Tlon,url,http
信義路三段/建國南路二段(西南側)(鄰近大安森林公園),"The N.S. side of Lianyun St. & Sec. 2, Xinyi Rd.",46,R06,171.9546377,TPE0024,24,TPE,信義建國路口,Xinyi & Jianguo Intersection,25.03293,121.53747,25.03336,121.535989,"https://api.mapbox.com/directions/v5/mapbox/walking/121.53747,25.03293;121.535989, 25.03336?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.53747,25.03293;121.535989, 25.03336?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
松信路/永吉路南西側人行道,The sidewalk- the S.W. side of Songxin Rd. & Yongji Rd.,30,BL19,600.445869,TPE0025,25,TPE,永吉松信路口,Yongji & Songxin Intersection,25.04543,121.57205,25.04099,121.57512,"https://api.mapbox.com/directions/v5/mapbox/walking/121.57205,25.04543;121.57512, 25.04099?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.57205,25.04543;121.57512, 25.04099?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
捷運昆陽站1號出口外停車場旁,The side of parking lots in the MRT Kunyang station (exit 1),42,BL21,43.76003023,TPE0026,26,TPE,捷運昆陽站(1號出口),MRT Kunyang Sta. (Exit 1),25.050142,121.592375,25.050319,121.592726,"https://api.mapbox.com/directions/v5/mapbox/walking/121.592375,25.050142;121.592726, 25.050319?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.592375,25.050142;121.592726, 25.050319?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
捷運南港展覽館站（5號出口）南側,The N.E side of Academia Rd. & Shihmin Blvd.,38,BR24,31.63706979,TPE0027,27,TPE,捷運南港展覽館站(5號出口),MRT Nangang Exhibition Center Sta. (Exit 5),25.05469,121.61669,25.05491,121.616861,"https://api.mapbox.com/directions/v5/mapbox/walking/121.61669,25.05469;121.616861, 25.05491?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.61669,25.05469;121.616861, 25.05491?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
松隆路/虎林街30巷口(西南側),The S.W side of Songlong Rd. & Hulin St.,32,G19,286.037744,TPE0028,28,TPE,五常公園,Wuchang Park,25.04814,121.57467,25.05017,121.576244,"https://api.mapbox.com/directions/v5/mapbox/walking/121.57467,25.04814;121.576244, 25.05017?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.57467,25.04814;121.576244, 25.05017?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
愛國東路/金山南路(西南側),The S.W side of Aiguo St. & Jinshan Rd.,54,O06,269.1472326,TPE0029,29,TPE,金山愛國路口,Jinshan & Aiguo Intersection,25.03164,121.52655,25.03367,121.527854,"https://api.mapbox.com/directions/v5/mapbox/walking/121.52655,25.03164;121.527854, 25.03367?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.52655,25.03164;121.527854, 25.03367?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
基隆路/長興街(東南側),The S.W side of Keelung Rd. & Changsing St.,74,BR08,1016.138166,TPE0030,30,TPE,基隆長興路口,Keelung & Changxing Intersection,25.017054,121.544352,25.026154,121.543636,"https://api.mapbox.com/directions/v5/mapbox/walking/121.544352,25.017054;121.543636, 25.026154?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.544352,25.017054;121.543636, 25.026154?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
辛亥路/新生南路(高架橋下),Under the bridge- Sinhai Rd. & Shinsheng S. Rd.,30,G08,656.8880996,TPE0031,31,TPE,辛亥新生路口,Xinhai & Xinsheng Intersection,25.022413,121.53456,25.02019,121.529093,"https://api.mapbox.com/directions/v5/mapbox/walking/121.53456,25.022413;121.529093, 25.02019?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.53456,25.022413;121.529093, 25.02019?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
捷運出口外和平東路側,The outside of the MRT exit and the side of Heping E. Rd.,38,BR07,47.33369676,TPE0032,32,TPE,捷運六張犁站,MRT Liuzhangli Sta.,25.023884,121.553161,25.023852,121.552737,"https://api.mapbox.com/directions/v5/mapbox/walking/121.553161,25.023884;121.552737, 25.023852?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.553161,25.023884;121.552737, 25.023852?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
八德路四段91巷(中崙高中)旁(鄰近京華城/中保寶貝城(BabyBoss City)),"The side of Ln. 91, Sec. 4, Bade Rd. ( beside Zhong-Lun High School)",46,G18,365.5355457,TPE0033,33,TPE,中崙高中,Zhonglun High School,25.04878,121.56087,25.05121,121.563073,"https://api.mapbox.com/directions/v5/mapbox/walking/121.56087,25.04878;121.563073, 25.05121?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.56087,25.04878;121.563073, 25.05121?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
捷運行天宮1號出口後方(松江路側),The side of Songjiang Rd.(the exit 1 of the MRT station of Xingtian Temple),32,O09,9.773952722,TPE0034,34,TPE,捷運行天宮站(1號出口),MRT Xingtian Temple Sta. (Exit 1),25.058369,121.532934,25.058316,121.533004,"https://api.mapbox.com/directions/v5/mapbox/walking/121.532934,25.058369;121.533004, 25.058316?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.532934,25.058369;121.533004, 25.058316?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
捷運行天宮站3號出口站外,The outside of the MRT station of Xingtian Temple.,30,O09,15.89219757,TPE0035,35,TPE,捷運行天宮站(3號出口),MRT Xingtian Temple Sta. (Exit 3),25.059978,121.533302,25.059868,121.533393,"https://api.mapbox.com/directions/v5/mapbox/walking/121.533302,25.059978;121.533393, 25.059868?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q","https://api.mapbox.com/directions/v5/mapbox/walking/121.533302,25.059978;121.533393, 25.059868?access_token=pk.eyJ1IjoiZ3JhbnRhYmM5OSIsImEiOiJjamhoZ2VrMGcxdDdmM2FwM3U2emkxZDBjIn0.RFRCH0jQOLFTAK7g93VM7Q"
